"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","cnn.com","",".","39","364","208","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
"1","CNN Breaking News","Dec 31, 2014","U.S. transfers 5 more Guantanamo Bay detainees, shrinking the number to 127. The 5 were sent to Kazakhstan.","20","167","129","","","","1"
"1","CNN Breaking News","Dec 31, 2014","at bottom of Java Sea.","88","1.4K","549","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","at bottom of Java Sea.","88","1.4K","549","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","at bottom of Java Sea.","88","1.4K","549","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
"1","cnn.com","","at bottom of Java Sea.","88","1.4K","549","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","Mom fatally shot by 2-year-old son at an Idaho Walmart in apparent accident, authorities say.","284","715","321","","","","1"
"1","CNN Breaking News","Dec 30, 2014","Search for wreckage from AirAsia Flight QZ8501 has resumed, Indonesia’s national search and rescue agency says.","18","242","151","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","Search for wreckage from AirAsia Flight QZ8501 has resumed, Indonesia’s national search and rescue agency says.","18","242","151","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","Search for wreckage from AirAsia Flight QZ8501 has resumed, Indonesia’s national search and rescue agency says.","18","242","151","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","Search for wreckage from AirAsia Flight QZ8501 has resumed, Indonesia’s national search and rescue agency says.","18","242","151","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","“Everyone became hysterical… One mother even blacked out,” family member of passengers on AirAsia Flight QZ8501 says.","47","232","232","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","“Everyone became hysterical… One mother even blacked out,” family member of passengers on AirAsia Flight QZ8501 says.","47","232","232","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","“Everyone became hysterical… One mother even blacked out,” family member of passengers on AirAsia Flight QZ8501 says.","47","232","232","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","“Everyone became hysterical… One mother even blacked out,” family member of passengers on AirAsia Flight QZ8501 says.","47","232","232","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","Three bodies recovered from site of AirAsia Flight QZ8501 debris field, Indonesia says.","56","712","312","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","Three bodies recovered from site of AirAsia Flight QZ8501 debris field, Indonesia says.","56","712","312","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","Three bodies recovered from site of AirAsia Flight QZ8501 debris field, Indonesia says.","56","712","312","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","Three bodies recovered from site of AirAsia Flight QZ8501 debris field, Indonesia says.","56","712","312","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","An all-out search for AirAsia airliner to ramp up Wednesday, Indonesian President Joko Widodo says.","27","241","170","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","An all-out search for AirAsia airliner to ramp up Wednesday, Indonesian President Joko Widodo says.","27","241","170","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","An all-out search for AirAsia airliner to ramp up Wednesday, Indonesian President Joko Widodo says.","27","241","170","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","An all-out search for AirAsia airliner to ramp up Wednesday, Indonesian President Joko Widodo says.","27","241","170","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","AirAsia flight debris found in sea about 110 nautical miles off Indonesian city of Pangkalan Bun, airline says.","37","1K","360","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","AirAsia flight debris found in sea about 110 nautical miles off Indonesian city of Pangkalan Bun, airline says.","37","1K","360","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","AirAsia flight debris found in sea about 110 nautical miles off Indonesian city of Pangkalan Bun, airline says.","37","1K","360","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","AirAsia flight debris found in sea about 110 nautical miles off Indonesian city of Pangkalan Bun, airline says.","37","1K","360","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","Indonesia confirms that debris from missing Flight QZ8501 has been found, airline says.","50","824","299","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","","Indonesia confirms that debris from missing Flight QZ8501 has been found, airline says.","50","824","299","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","","Indonesia confirms that debris from missing Flight QZ8501 has been found, airline says.","50","824","299","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","cnn.com","","Indonesia confirms that debris from missing Flight QZ8501 has been found, airline says.","50","824","299","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/6GIQnypXQD?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014",".","65","577","227","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/sBg3QOlhMM?amp=1","1"
"1","Sonar may have detected AirAsia Flight QZ8501 wreckage - CNN","",".","65","577","227","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/sBg3QOlhMM?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, six bodies have been found so far, officials say.","",".","65","577","227","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/sBg3QOlhMM?amp=1","1"
"1","cnn.com","",".","65","577","227","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/sBg3QOlhMM?amp=1","1"
"1","CNN Breaking News","Dec 30, 2014","#QZ8501","41","622","310","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
