"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Jan 21, 2017","Aerials over Chicago, Boston show large crowds that have gathered for regional Women’s Marches","379","6.7K","11.4K","https://pbs.twimg.com/tweet_video_thumb/C2teQ9pXUAIa2pW.jpg","https://pbs.twimg.com/tweet_video_thumb/C2teQ9pXUAIa2pW.jpg","","1"
"","GIF","","","","","","https://pbs.twimg.com/tweet_video_thumb/C2teQ9pXUAIa2pW.jpg","https://pbs.twimg.com/tweet_video_thumb/C2teQ9pXUAIa2pW.jpg","","1"
"","CNN Breaking News","Jan 21, 2017","attendees gather near the Eiffel Tower in Paris","91","3K","6.6K","https://pbs.twimg.com/media/C2tWO9mWQAIy_ix?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 21, 2017","President Trump attends interfaith prayer service at Washington's National Cathedral","266","234","833","https://pbs.twimg.com/media/C2tH4DGXgAAAxWg?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 21, 2017","At least 3 people killed by severe storms in southern Mississippi, state official says.","16","186","213","https://pbs.twimg.com/media/C2sz18HUcAQVyGi?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 21, 2017","Injuries reported after severe storm hits Hattiesburg, MS. A private college and fire station are damaged.","27","251","229","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://t.co/s5DcEk4Kv8?amp=1","1"
"","More severe weather expected after tornado kills 4 in Mississippi","","Injuries reported after severe storm hits Hattiesburg, MS. A private college and fire station are damaged.","27","251","229","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://t.co/s5DcEk4Kv8?amp=1","1"
"","Severe storms ripped through southern Mississippi early Saturday, killing at least four people and damaging several structures -- including a college.","","Injuries reported after severe storm hits Hattiesburg, MS. A private college and fire station are damaged.","27","251","229","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://t.co/s5DcEk4Kv8?amp=1","1"
"","cnn.com","","Injuries reported after severe storm hits Hattiesburg, MS. A private college and fire station are damaged.","27","251","229","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591110853824513/JIXZA1T4?format=jpg&name=small","https://t.co/s5DcEk4Kv8?amp=1","1"
"","CNN Breaking News","Jan 21, 2017","Bus crash in Italy leaves more than a dozen dead, media reports say.","23","168","188","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://t.co/NKkmEEx7SU?amp=1","1"
"","Italy bus crash leaves more than a dozen dead","","Bus crash in Italy leaves more than a dozen dead, media reports say.","23","168","188","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://t.co/NKkmEEx7SU?amp=1","1"
"","A bus returning from a school trip hit a pylon of a bridge near Verona in northern Italy on Saturday, leaving at least 16 people dead, according to Italian news agency ANSA.","","Bus crash in Italy leaves more than a dozen dead, media reports say.","23","168","188","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://t.co/NKkmEEx7SU?amp=1","1"
"","cnn.com","","Bus crash in Italy leaves more than a dozen dead, media reports say.","23","168","188","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://pbs.twimg.com/card_img/1333312096206008320/E_8ChmG1?format=jpg&name=small","https://t.co/NKkmEEx7SU?amp=1","1"
"","CNN Breaking News","Jan 21, 2017","first dance to “My Way”","664","2.4K","7.2K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/iDBIsjJYBX?amp=1","1"
"","SnappyTV features are now in Twitter Media Studio","","first dance to “My Way”","664","2.4K","7.2K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/iDBIsjJYBX?amp=1","1"
