"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","May 13, 2016","Lee McCullum, young man featured in 'Chicagoland,' found shot to death.","52","225","219","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://t.co/e9inxiXLMr?amp=1","1"
"1","Young man featured in 'Chicagoland' shot to death","","Lee McCullum, young man featured in 'Chicagoland,' found shot to death.","52","225","219","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://t.co/e9inxiXLMr?amp=1","1"
"1","Lee McCullum was a hopeful figure in ""Chicagoland,"" the 2014 documentary that aired on CNN about the often-violent streets of that city. He was found shot to death Thursday.","","Lee McCullum, young man featured in 'Chicagoland,' found shot to death.","52","225","219","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://t.co/e9inxiXLMr?amp=1","1"
"1","cnn.com","","Lee McCullum, young man featured in 'Chicagoland,' found shot to death.","52","225","219","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://pbs.twimg.com/card_img/1335675009465925633/QqMN5vrC?format=jpg&name=small","https://t.co/e9inxiXLMr?amp=1","1"
"1","CNN Breaking News","May 13, 2016","Oklahoma City Thunder defeat San Antonio Spurs 113-99 to advance to the NBA Western Conference Finals.","25","282","461","","","","1"
"1","CNN Breaking News","May 13, 2016","Obama administration to issue guidance Friday on transgender bathrooms.","137","264","419","","","","1"
"1","W.H. issues guidance on transgender bathrooms","","Obama administration to issue guidance Friday on transgender bathrooms.","137","264","419","","","","1"
"1","The Obama administration issued guidance Friday directing public schools to allow transgender students to use bathrooms matching their gender identity.","","Obama administration to issue guidance Friday on transgender bathrooms.","137","264","419","","","","1"
"1","cnn.com","","Obama administration to issue guidance Friday on transgender bathrooms.","137","264","419","","","","1"
"1","CNN Breaking News","May 13, 2016",".","8","79","150","","","","1"
"1","CNN Breaking News","May 13, 2016",".","34","160","154","","","","1"
"1","CNN Breaking News","May 12, 2016","No explosives found and no operations affected by short lockdown at Andrews Air Force base.","4","127","186","","","","1"
"1","Andrews Air Force base goes into lockdown after bomb scare","","No explosives found and no operations affected by short lockdown at Andrews Air Force base.","4","127","186","","","","1"
"1","Parts of Andrews Air Force base were placed into lockdown late Thursday afternoon following a report of a woman claiming to have a bomb near the main gate.","","No explosives found and no operations affected by short lockdown at Andrews Air Force base.","4","127","186","","","","1"
"1","cnn.com","","No explosives found and no operations affected by short lockdown at Andrews Air Force base.","4","127","186","","","","1"
"1","CNN Breaking News","May 12, 2016","Navy officer in charge of U.S. sailors briefly detained by Iran is relieved of duties","47","146","234","","","","1"
"1","CNN Breaking News","May 12, 2016",".","73","174","191","https://pbs.twimg.com/media/CiSLXwoXAAEWhBt?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 12, 2016","Paul Ryan speaks after meeting with Donald Trump. Watch CNNgo.","37","53","138","","","","1"
"1","CNN Breaking News","May 12, 2016","Donald Trump, Paul Ryan tout “great opportunity to unify"" GOP after meeting in D.C.","80","84","245","","","","1"
"1","CNN Breaking News","May 12, 2016","Protesters gather outside Donald Trump-Paul Ryan meeting.","121","120","333","https://pbs.twimg.com/media/CiQlZWAW0AA2TyS?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 12, 2016","George Zimmerman reportedly auctioning the gun he used to kill Trayvon Martin four years ago","186","516","437","https://pbs.twimg.com/media/CiQZigBWUAA3pii?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 12, 2016","Brazilian President temporarily steps aside after majority of senators vote to proceed with impeachment proceedings.","66","804","639","","","","1"
"1","CNN Breaking News","May 12, 2016","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","ISIS claims Baghdad police station attack","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","Three Iraqi police officers were killed and 10 others wounded when two suicide bombers blew themselves up at a police station in Baghdad, authorities said.","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","cnn.com","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","CNN Breaking News","May 12, 2016","Golden State Warriors defeat Portland Trail Blazers 125-121 to advance to the NBA Western Conference Finals.","27","217","597","","","","1"
"1","CNN Breaking News","May 12, 2016",", officials say.","42","505","472","","","","1"
"1","CNN Breaking News","May 12, 2016","Michigan State U. offers lead screening for Flint’s dogs and treats dogs with lead contamination.","32","337","672","","","","1"
"1","CNN Breaking News","May 12, 2016","U.S. deploys European missile defense shield.","29","207","332","","","","1"
"1","CNN Breaking News","May 11, 2016",".","311","295","624","https://pbs.twimg.com/media/CiNU8mwUkAA7xQp?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016",".","104","168","230","https://pbs.twimg.com/media/CiNAYMdW0AAAGhN?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016","2013 fertilizer plant fire in West, Texas, that killed 15 was deliberately set, ATF says.","58","558","393","https://pbs.twimg.com/media/CiMQaLsVAAEaUX3?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","Grand jury indicts ex-officer in Walter Scott death","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","A grand jury indicts ex-North Charleston, South Carolina, police officer Michael Slager on federal charges in the shooting death of Walter Scott. He pleads not guility.","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","cnn.com","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","CNN Breaking News","May 12, 2016","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","ISIS claims Baghdad police station attack","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","Three Iraqi police officers were killed and 10 others wounded when two suicide bombers blew themselves up at a police station in Baghdad, authorities said.","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","cnn.com","","Authorities: 3 officers killed, 10 hurt when suicide bombers blew themselves up at a police station in Baghdad.","31","174","168","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://pbs.twimg.com/card_img/1334424417774882816/yIKNqs5C?format=jpg&name=small","https://t.co/lNaWZf7VlP?amp=1","1"
"1","CNN Breaking News","May 12, 2016","Golden State Warriors defeat Portland Trail Blazers 125-121 to advance to the NBA Western Conference Finals.","27","217","597","","","","1"
"1","CNN Breaking News","May 12, 2016",", officials say.","42","505","472","","","","1"
"1","CNN Breaking News","May 12, 2016","Michigan State U. offers lead screening for Flint’s dogs and treats dogs with lead contamination.","32","337","672","","","","1"
"1","CNN Breaking News","May 12, 2016","U.S. deploys European missile defense shield.","29","207","332","","","","1"
"1","CNN Breaking News","May 11, 2016",".","311","295","624","https://pbs.twimg.com/media/CiNU8mwUkAA7xQp?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016",".","104","168","230","https://pbs.twimg.com/media/CiNAYMdW0AAAGhN?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016","2013 fertilizer plant fire in West, Texas, that killed 15 was deliberately set, ATF says.","58","558","393","https://pbs.twimg.com/media/CiMQaLsVAAEaUX3?format=jpg&name=small","","","1"
"1","CNN Breaking News","May 11, 2016","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","Grand jury indicts ex-officer in Walter Scott death","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","A grand jury indicts ex-North Charleston, South Carolina, police officer Michael Slager on federal charges in the shooting death of Walter Scott. He pleads not guility.","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","cnn.com","","Ex-North Charleston officer indicted on federal charges in fatal shooting of Walter Scott.","20","179","243","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://pbs.twimg.com/card_img/1334296614178066435/3WYmMlAP?format=jpg&name=small","https://t.co/mNyBmka1ZQ?amp=1","1"
"1","CNN Breaking News","May 11, 2016","Not quite unionized: Uber drivers in New York form guild to represent driver concerns without collective bargaining.","12","86","167","","","","1"
"1","Union to represent 35,000 Uber drivers in New York City, but with limits","","Not quite unionized: Uber drivers in New York form guild to represent driver concerns without collective bargaining.","12","86","167","","","","1"
"1","Uber has recognized Machinists union affiliate to represent its 35,000 drivers in New York City, but it won't be able to negotiate for them.","","Not quite unionized: Uber drivers in New York form guild to represent driver concerns without collective bargaining.","12","86","167","","","","1"
"1","money.cnn.com","","Not quite unionized: Uber drivers in New York form guild to represent driver concerns without collective bargaining.","12","86","167","","","","1"
"1","CNN Breaking News","May 11, 2016","At least 37 people killed when bomb went off in Baghdad market, officials say. ISIS claims responsibility.","46","357","225","","","","1"
"1","CNN Breaking News","May 11, 2016","5 men on terror watch list arrested trying to leave Australia by boat, allegedly going to Syria, officials say.","29","154","266","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://t.co/Pd40SEryJ0?amp=1","1"
"1","Australia: Suspects planned to sail to Syria","","5 men on terror watch list arrested trying to leave Australia by boat, allegedly going to Syria, officials say.","29","154","266","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://t.co/Pd40SEryJ0?amp=1","1"
"1","Five men on a terror watch list have been arrested on suspicion of trying to leave Australia by boat, with extremist groups in Syria a likely final destination.","","5 men on terror watch list arrested trying to leave Australia by boat, allegedly going to Syria, officials say.","29","154","266","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://t.co/Pd40SEryJ0?amp=1","1"
"1","cnn.com","","5 men on terror watch list arrested trying to leave Australia by boat, allegedly going to Syria, officials say.","29","154","266","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://pbs.twimg.com/card_img/1334088530650427401/hW47Nzh-?format=jpg&name=small","https://t.co/Pd40SEryJ0?amp=1","1"
"1","CNN Breaking News","May 11, 2016","Officials will announce today the cause of a Texas fertilizer plant explosion that killed 15 people in 2013.","9","130","219","","","","1"
"1","CNN Breaking News","May 11, 2016","U.S. Navy SEAL trainee dies during pool exercise in first week of training, Navy says.","58","298","374","https://pbs.twimg.com/card_img/1334965173023608837/cI56NfVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1334965173023608837/cI56NfVZ?format=jpg&name=small","https://t.co/1EcuXRMEoS?amp=1","1"
